song,artist,album,year,duration (ms),popularity,tempo,danceability
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,2024,149667,91,129.976,0.681
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),2023,140000,86,150.019,0.673
Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),2023,179161,79,140.009,0.587
Addicted,Zerb,Addicted,2024,152250,84,120.064,0.771
Mockingbird,Tiësto,Mockingbird,2024,154838,77,155.011,0.656
places to be,Fred again..,places to be,2024,226677,80,174.043,0.548
Thunder,Gabry Ponte,Thunder,2021,160000,80,101.216,0.67
Boyz In Paris (with VINAI),Marnik,Boyz In Paris (with VINAI),2023,151589,78,149.036,0.628
The Spark,Kabin Crew,The Spark,2024,146384,79,173.931,0.841
Pedro,Jaxomy,Pedro,2024,144846,88,151.019,0.788
Belly Dancer,Imanbek,Belly Dancer,2022,151475,79,121.985,0.845
When We Were Young (The Logical Song),David Guetta,When We Were Young (The Logical Song),2023,147432,82,139.989,0.657
Edge of Seventeen,Wuki,Edge of Seventeen,2022,164042,71,127.997,0.708
Hey Brother,Avicii,True,2013,255093,78,125.014,0.545
Water,Tyla,Water,2023,191733,70,123.854,0.525
All the Things She Said,Robin Schulz,All the Things She Said,2024,165299,68,150.078,0.517
Rumble,Skrillex,Quest For Fire,2023,146571,67,139.979,0.81
Would You (go to bed with me?),Campbell,Would You (go to bed with me?),2023,120522,75,87.042,0.602
Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),2023,178156,84,137.959,0.634
It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,2024,152304,83,128.004,0.755
Jungle,Alok,Jungle,2023,175500,76,140.002,0.596
Seven Nation Army,DJ Fluke,Seven Nation Army,2021,156309,69,125.97,0.689
Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,2011,245040,71,126.06,0.604
Drums (Feat. Kim Petras),James Hype,Drums (Feat. Kim Petras),2023,152400,71,128.014,0.792
Sunshine (My Girl),Wuki,Sunshine (My Girl),2023,131250,76,128.087,0.871
Good Love,Hannah Laing,Good Love,2023,169534,74,140.039,0.777
Prada,cassö,Prada,2023,132359,86,141.904,0.638
Ratata,La Fuente,Ratata,2024,148446,70,127.002,0.886
Witchcraft,Pendulum,Immersion,2010,252786,61,174.038,0.42
Miss You - Bonus Track,Oliver Tree,Alone In A Crowd,2023,206000,76,145.007,0.587
Honey Boy (feat. Nile Rodgers & Shenseea),Purple Disco Machine,Honey Boy (feat. Nile Rodgers & Shenseea),2024,227283,79,119.984,0.724
Hall Of Fame,PHARAØH,Hall Of Fame,2022,177904,56,169.965,0.523
One in a Million,Bebe Rexha,One in a Million,2023,160529,75,137.945,0.454
Satisfaction - Hardwell & Maddix Remix,David Guetta,Satisfaction (Hardwell & Maddix Remix),2023,204436,67,135.014,0.715
Wasted Youth,goddard.,Wasted Youth,2024,147581,70,174.004,0.565
Cruel Summer - LP Giobbi Remix,Taylor Swift,The Cruelest Summer,2023,192900,66,122.988,0.73
Fine Day Anthem,Skrillex,Fine Day Anthem,2023,193690,68,138.011,0.771
leavemealone,Fred again..,USB,2024,222784,73,174.062,0.68
Dernière danse - Techno Mix,Indila,Dernière danse (Techno Mix),2024,197142,77,140.004,0.589
Big City Life,Luude,Big City Life,2022,146711,71,87.03,0.615
Bel Mercy,Jengi,Bel Mercy,2022,169606,68,127.016,0.949
Couldn't Care Less (feat. Gia Koka),ALTÉGO,Couldn't Care Less (feat. Gia Koka),2024,145946,74,142.009,0.732
These Words,Badger,These Words,2024,136580,82,129.989,0.595
I Want You To Know,Zedd,True Colors,2015,240000,64,129.999,0.579
I Love It (feat. Charli XCX),Icona Pop,THIS IS... ICONA POP,2013,157152,72,125.916,0.711
Man In Finance (with David Guetta),David Guetta,Man In Finance (with David Guetta),2024,113595,76,126.028,0.669
Get Busy - Odd Mob Club Mix,Sean Paul,Get Busy (Odd Mob Club Mix),2024,165909,62,132.08,0.77
HUMBLE. - SKRILLEX REMIX,Skrillex,HUMBLE. (SKRILLEX REMIX),2017,156800,67,150.037,0.901
Jungle,Fred again..,USB,2024,198805,69,133.922,0.665
Mad World,Timmy Trumpet,Mad World,2020,153303,69,106.594,0.54
